55193	20158	2
20158	25559	1
25559	199253	1
199253	50066	3
50066	129212	3
129212	8344	2
8344	135648	2
135648	126111	2
126111	119415	1
119415	121758	3
121758	152766	2
152766	251700	2
251700	207886	1
207886	211566	2
211566	153915	3
153915	199506	1
199506	73183	3
73183	24418	1
24418	168360	3
168360	43042	1
43042	146587	3
146587	218036	1
218036	11031	2
11031	111956	1
111956	113453	3
113453	231412	2
231412	62809	3
62809	171423	1
171423	220128	3
220128	234179	2
234179	86597	2
86597	115749	1
115749	42772	3
42772	162465	2
162465	95810	1
95810	53622	3
53622	89140	3
89140	59722	2
59722	75648	2
75648	163098	1
163098	60308	3
60308	84568	1
84568	85858	3
85858	205468	1
205468	231507	2
231507	65050	3
65050	124641	2
124641	597	3
597	208969	1
208969	201332	2
201332	185101	2
185101	121133	3
121133	174372	1
174372	118946	1
118946	212252	3
212252	53063	1
53063	234866	2
234866	6500	1
6500	179653	3
179653	220513	1
220513	133827	3
133827	218580	1
218580	56280	3
56280	198036	1
198036	181770	2
181770	232109	3
232109	132702	2
132702	242278	2
242278	5596	1
5596	221070	1
221070	127392	3
127392	265294	3
265294	44271	1
44271	37766	2
37766	207037	1
207037	182861	2
182861	177704	3
177704	127581	2
127581	165947	2
165947	97518	1
97518	267280	3
267280	254426	1
254426	249579	3
249579	149401	2
149401	197659	1
197659	261310	3
261310	142546	1
142546	222358	1
222358	229576	1
229576	169078	3
169078	257465	3
257465	31607	2
31607	124023	1
124023	150817	3
150817	216612	1
216612	106628	1
106628	166447	3
166447	202171	1
202171	32604	3
32604	102246	3
34834	160361	2
160361	167021	1
167021	160692	3
160692	40848	1
40848	93031	1
93031	3594	3
3594	230348	1
230348	85357	3
85357	268011	1
268011	190408	2
190408	87850	3
87850	235276	1
235276	4358	3
4358	167672	3
167672	4668	1
4668	266859	1
266859	235760	2
235760	74435	3
74435	94342	1
94342	192594	2
192594	105532	1
105532	201787	2
201787	28019	2
28019	152321	3
152321	125207	1
125207	68647	3
68647	256018	1
256018	34051	2
34051	244367	1
244367	214181	3
214181	224643	1
224643	263516	2
263516	94569	3
94569	78948	3
78948	32324	2
32324	93597	2
93597	79849	3
79849	136904	2
136904	213911	1
213911	208291	2
208291	269948	3
269948	184051	1
184051	30805	3
30805	42021	1
42021	14138	3
14138	114081	1
114081	2374	1
2374	174703	3
174703	135347	2
135347	137928	2
137928	2690	1
2690	78287	3
78287	221816	2
221816	74863	2
74863	204846	1
204846	67670	3
67670	11560	1
11560	39104	2
39104	10531	1
10531	193972	2
193972	7914	3
7914	248218	3
248218	158244	3
158244	103558	1
103558	37171	3
37171	239857	2
239857	130359	3
130359	45829	2
45829	194170	1
194170	166599	3
166599	108928	1
108928	260464	2
260464	247324	3
247324	88461	2
88461	259188	1
259188	215234	3
215234	112427	1
112427	238655	3
238655	133428	2
133428	30041	1
30041	175089	3
175089	250847	1
250847	254811	3
254811	90020	1
90020	59373	3
59373	172972	3
172972	36157	2
36157	188149	1
188149	101363	1
101363	233305	1
233305	239047	3
239047	162529	1
162529	49744	3
49744	171523	1
171523	147239	3
147239	51965	2
51965	164917	2
164917	249250	1
249250	169670	3
169670	184967	1
